,Valid Domains,MXRecords
280,globalcommunitycs.org,aspmx.l.google.com.
281,ps87.org,alt1.aspmx.l.google.com.
282,greatoakscharter.org,alt2.aspmx.l.google.com.
283,capitalprepharlem.org,aspmx.l.google.com.
284,psms206.org,alt1.aspmx.l.google.com.
285,thehamiltongrangeschool.org,ASPMX2.GOOGLEMAIL.COM.
286,p94m.org,alt1.aspmx.l.google.com.
287,ncschools.org,alt1.aspmx.l.google.com.
288,inwoodec.org,alt4.aspmx.l.google.com.
289,ps102m.org,smtp.secureserver.net.
290,midtownwestschool.org,aspmx.l.google.com.
291,themotthall.org,alt1.aspmx.l.google.com.
292,ellabakerschool.org,aspmx.l.google.com.
293,ps234.org,alt3.aspmx.l.google.com.
294,thecomputerschool.org,alt2.aspmx.l.google.com.
295,dospuentes.org,aspmx2.googlemail.com.
296,psms108.org,ASPMX2.GOOGLEMAIL.COM.
297,ps110.org,smtp.secureserver.net.
298,ps111adolphsochs.org,aspmx.l.google.com.
299,ps112m.org,alt3.aspmx.l.google.com.
300,esms.org,alt3.aspmx.l.google.com.
301,ps116.org,aspmx3.googlemail.com.
302,ralphbuncheschool.org,aspmx3.googlemail.com.
303,ps126mat.org,alt4.aspmx.l.google.com.
304,theclintonschool.org,ALT1.ASPMX.L.GOOGLE.COM.
305,cityschoolofthearts.org,alt1.aspmx.l.google.com.
306,ps130m.org,alt2.aspmx.l.google.com.
307,psms278.org,psms278.org.
308,ocsny.org,alt2.aspmx.l.google.com.
309,meca-nyc.org,aspmx.l.google.com.
310,ps281.org,aspmx.l.google.com.
311,hczpromise.org,aspmx2.googlemail.com.
312,harlemrenhs.org,aspmx.l.google.com.
313,foodfinancehs.org,alt1.aspmx.l.google.com.
314,is289.org,alt1.aspmx.l.google.com.
315,ps290.org,alt3.aspmx.l.google.com.
316,orchardcollegiateacademy.org,aspmx.l.google.com.
317,ccaa293.org,aspmx.l.google.com.
318,essexstreetacademy.org,alt3.aspmx.l.google.com.
319,schoolinthesquare.org,alt2.aspmx.l.google.com.
320,75morton.org,alt4.aspmx.l.google.com.
321,uasdc.org,alt2.aspmx.l.google.com.
322,facinghistoryschool.org,alt1.aspmx.l.google.com.
323,uaagl.org,alt3.aspmx.l.google.com.
324,uamhighschool.org,aspmx.l.google.com.
325,amistadschool.org,alt3.aspmx.l.google.com.
326,ms319.org,aspmx.l.google.com.
327,06ms328.org,mailstore1.secureserver.net.
328,harlemlink.org,harlemlink-org.mail.eo.outlook.com.
329,ps132m.org,alt1.aspmx.l.google.com.
330,publicprep.org,alt2.aspmx.l.google.com.
331,ps134.org,alt2.aspmx.l.google.com.
332,ps333.org,aspmx.l.google.com.
333,ps334school.org,alt1.aspmx.l.google.com.
334,harlemvillageacademies.org,harlemvillageacademies-org.mail.protection.outlook.com.
335,nycautismcharterschool.org,mail.nycautismcharterschool.org.
336,iceschoolnyc.org,eforward3.registrar-servers.com.
337,whinmusic.org,alt2.aspmx.l.google.com.
338,ppasnyc.org,mailstore1.secureserver.net.
339,ps340.org,aspmx4.googlemail.com.
340,rrghst.org,alt1.aspmx.l.google.com.
341,nyclabschool.org,alt4.aspmx.l.google.com.
342,peckslip.org,aspmx.l.google.com.
343,ps347.org,aspmx3.googlemail.com.
344,humanitiesprep.org,alt2.aspmx.l.google.com.
345,sof.org,sof-org.mail.protection.outlook.com.
346,wheelsnyc.org,aspmx.l.google.com.
347,tywls.org,ALT2.ASPMX.L.GOOGLE.COM.
348,nycmuseumschool.org,aspmx.l.google.com.
349,chelseacte.org,aspmx.l.google.com.
350,wadleigharts.org,alt1.aspmx.l.google.com.
351,artanddesignhs.org,alt3.aspmx.l.google.com.
352,cascadeshs.org,aspmx.l.google.com.
353,newheightsacademy.org,aspmx.l.google.com.
354,climatejustice.org,smtp.secureserver.net.
355,millenniumhs.org,aspmx2.googlemail.com.
356,tmanyc.org,aspmx2.googlemail.com.
357,hsmse.org,alt4.aspmx.l.google.com.
358,cwsnyc.org,aspmx.l.google.com.
359,sisuluwalker.org,aspmx.l.google.com.
360,columbiasecondary.org,alt1.aspmx.l.google.com.
361,hsacs.org,aspmx2.googlemail.com.
362,tnsny.org,ASPMX5.GOOGLEMAIL.COM.
363,ambercharter.org,alt3.aspmx.l.google.com.
364,jvlwildcat.org,aspmx.l.google.com.
365,imscd.org,aspmx2.googlemail.com.
366,uaperformingarts.org,aspmx.l.google.com.
367,p811m.org,alt2.aspmx.l.google.com.
368,landmarkhs.org,alt2.aspmx.l.google.com.
369,hphsnyc.org,alt2.aspmx.l.google.com.
370,tsmsonline.org,ASPMX3.GOOGLEMAIL.COM.
371,ms421.org,aspmx.l.google.com.
372,kaufmanmusiccenter.org,kaufmanmusiccenter-org.mail.protection.outlook.com.
